RESULT ALG RULESETSIZE SEED SMOOTH ADDRESS_SCOPE APP_SCOPE PA PB SCALE AVG MIN_AVG32 MAX_AVG32 MEM_AVG MINMEM_AVG32 MAXMEM_AVG32
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 0.25 1000 48.43439 3.9701800000000005 92.8688 11127.75 7832 15176
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 0.5 1000 38.06175625 2.89506 85.8008 10996.375 7572 16176
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 0.75 1000 37.982281562500006 2.59191 62.0052 10922.875 7740 13920
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 1 1000 37.566426250000006 6.50277 198.639 10794.25 6908 14140
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.1 1000 60.2584628125 1.7160099999999998 78.5453 3216.5 2656 4240
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.25 1000 36.2341403125 4.23339 48.2096 3225.0 2484 4884
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.5 1000 20.4395265625 1.35994 30.7563 3376.5 2456 5476
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.75 1000 18.1919209375 1.37137 23.7144 3427.75 2600 4844
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 1 1000 14.9056009375 7.618469999999999 24.3822 3472.125 2640 4660
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.1 1000 61.5077246875 7.32339 77.6649 3226.75 2528 5440
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.25 1000 36.5140521875 7.18315 51.2811 2988.125 2380 3956
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.5 1000 22.3933690625 5.77405 59.5428 3168.25 2340 4708
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.75 1000 16.3289259375 1.37468 23.4926 3196.875 2376 5460
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 1 1000 13.5711715625 3.1482200000000002 25.9727 3115.0 2384 4292
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.1 1000 56.423055937499996 1.11679 72.5671 2021.625 1912 2068
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.25 1000 28.270428125000002 10.0806 41.8847 2017.5 1792 2080
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.5 1000 17.421460625 6.80032 25.1301 2011.875 1908 2064
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.75 1000 12.5969009375 2.59951 17.97 2011.5 1908 2072
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 1 1000 10.8808421875 1.61542 13.968 2027.375 1924 2072
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.1 1000 65.64622187500001 13.6522 89.2182 11266.75 8012 15464
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.25 1000 49.5915990625 2.96687 70.693 11040.625 7348 15832
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.5 1000 40.396904375000005 3.93791 80.1952 11066.875 7676 15164
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.75 1000 34.026525937500004 7.018860000000001 55.0801 11642.5 7316 14404
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 1 1000 37.298681875 4.64722 75.753 11595.75 7960 15668
RESULT followfast 256 fw2_seed 2 0.5 -0.1 1 0.1 1000 76.78379375 13.1058 105.83 12796.0 9340 17308
RESULT followfast 256 fw2_seed 2 0.5 -0.1 1 0.25 1000 56.0322928125 8.14747 169.00900000000001 12824.25 8728 15704
RESULT followfast 256 fw2_seed 2 0.5 -0.1 1 0.5 1000 51.433475 16.3809 134.921 12655.75 9776 15796
RESULT followfast 256 fw2_seed 2 0.5 -0.1 1 0.75 1000 45.829981875 6.1413199999999994 129.925 12336.875 8328 15552
RESULT followfast 256 fw2_seed 2 0.5 -0.1 1 1 1000 40.91458625 1.38631 86.2075 12271.0 8732 16032
RESULT followfast 256 fw3_seed 2 0.5 -0.1 1 0.1 1000 72.124346875 14.7111 92.5544 11231.5 9028 13648
RESULT followfast 256 fw3_seed 2 0.5 -0.1 1 0.25 1000 56.6263725 3.13822 87.7921 11597.125 8048 15788
RESULT followfast 256 fw3_seed 2 0.5 -0.1 1 0.5 1000 53.15511625 6.77292 209.36 11754.25 9020 16400
RESULT followfast 256 fw3_seed 2 0.5 -0.1 1 0.75 1000 44.163885 1.84172 121.478 11705.75 9128 13988
RESULT followfast 256 fw3_seed 2 0.5 -0.1 1 1 1000 36.5264609375 3.16955 54.1169 11570.625 9472 14588
RESULT followfast 256 fw4_seed 2 0.5 -0.1 1 0.1 1000 81.37701562500001 33.0405 187.93200000000002 11189.25 7312 13256
RESULT followfast 256 fw4_seed 2 0.5 -0.1 1 0.25 1000 64.00957187499999 27.1122 170.74200000000002 11849.25 8672 14760
RESULT followfast 256 fw4_seed 2 0.5 -0.1 1 0.5 1000 50.55373593750001 2.44745 111.22200000000001 11139.5 8340 15688
RESULT followfast 256 fw4_seed 2 0.5 -0.1 1 0.75 1000 48.267740625 10.1922 168.925 10894.375 8948 13964
RESULT followfast 256 fw4_seed 2 0.5 -0.1 1 1 1000 37.741206250000005 5.83571 68.0538 10417.75 7740 12732
RESULT followfast 256 fw5_seed 2 0.5 -0.1 1 0.1 1000 79.525025 38.769 91.1841 15440.25 13536 18692
RESULT followfast 256 fw5_seed 2 0.5 -0.1 1 0.25 1000 64.7093565625 3.00711 126.167 15479.5 12368 18620
RESULT followfast 256 fw5_seed 2 0.5 -0.1 1 0.5 1000 58.26359125 3.57349 141.614 15172.375 12056 17464
RESULT followfast 256 fw5_seed 2 0.5 -0.1 1 0.75 1000 64.3048125 21.671999999999997 216.312 15108.375 12908 17792
RESULT followfast 256 fw5_seed 2 0.5 -0.1 1 1 1000 55.974415625000006 23.4234 94.867 15464.0 13076 18004
RESULT followfast 256 ipc1_seed 2 0.5 -0.1 1 0.1 1000 64.588871875 14.7555 103.445 4959.375 3356 6336
RESULT followfast 256 ipc1_seed 2 0.5 -0.1 1 0.25 1000 40.149584374999996 13.8615 62.1269 4709.625 3212 6188
RESULT followfast 256 ipc1_seed 2 0.5 -0.1 1 0.5 1000 26.69986125 2.3345599999999997 57.0065 4949.375 3156 6736
RESULT followfast 256 ipc1_seed 2 0.5 -0.1 1 0.75 1000 23.258395 2.8731400000000002 44.2475 4936.25 3396 6424
RESULT followfast 256 ipc1_seed 2 0.5 -0.1 1 1 1000 22.7324853125 3.7181300000000004 51.202 4865.875 3280 6464
RESULT followfast 256 ipc2_seed 2 0.5 -0.1 1 0.1 1000 54.95615625 15.9648 94.0284 7601.875 5004 10568
RESULT followfast 256 ipc2_seed 2 0.5 -0.1 1 0.25 1000 43.780356250000004 18.4827 66.5614 7431.0 4616 9748
RESULT followfast 256 ipc2_seed 2 0.5 -0.1 1 0.5 1000 33.9914215625 1.01983 55.4173 7650.75 5364 10308
RESULT followfast 256 ipc2_seed 2 0.5 -0.1 1 0.75 1000 34.6566128125 3.30712 74.0524 7500.125 4772 10524
RESULT followfast 256 ipc2_seed 2 0.5 -0.1 1 1 1000 34.980736875000005 1.6070799999999998 77.9213 7464.875 4964 10528
RESULT efficuts 256 acl1_seed 2 0.5 -0.1 1 0.1 1000 8.957150625 3.9383 22.445999999999998 9502.1875 1532 9910
RESULT efficuts 256 acl1_seed 2 0.5 -0.1 1 0.25 1000 7.9876362499999995 3.29285 23.018 9764.5 9574 10006
RESULT efficuts 256 acl1_seed 2 0.5 -0.1 1 0.5 1000 9.417094062499999 2.29035 21.0012 9773.25 9674 10002
RESULT efficuts 256 acl1_seed 2 0.5 -0.1 1 0.75 1000 9.388850625 3.24267 18.5703 9917.3125 9590 14112
RESULT efficuts 256 acl1_seed 2 0.5 -0.1 1 1 1000 8.838104062500001 2.1168 18.3236 9408.9375 1604 10114
RESULT efficuts 256 acl2_seed 2 0.5 -0.1 1 0.1 1000 13.830015 8.182089999999999 28.2229 7254.75 5498 9822
RESULT efficuts 256 acl2_seed 2 0.5 -0.1 1 0.25 1000 13.1204184375 8.352789999999999 15.7992 6758.0 5442 9838
RESULT efficuts 256 acl2_seed 2 0.5 -0.1 1 0.5 1000 13.63102125 8.89148 28.6259 6878.125 5494 9854
RESULT efficuts 256 acl2_seed 2 0.5 -0.1 1 0.75 1000 13.536495 8.83907 23.1648 7545.0 5486 9890
RESULT efficuts 256 acl2_seed 2 0.5 -0.1 1 1 1000 13.633030625 4.00517 25.9737 7252.875 5458 9822
RESULT efficuts 256 acl3_seed 2 0.5 -0.1 1 0.1 1000 21.1778315625 3.98145 43.9301 8431.75 5594 9822
RESULT efficuts 256 acl3_seed 2 0.5 -0.1 1 0.25 1000 23.18654375 2.9967599999999996 41.8064 8292.875 5538 9930
RESULT efficuts 256 acl3_seed 2 0.5 -0.1 1 0.5 1000 20.498810624999997 2.9904 45.6267 9347.125 5574 9994
RESULT efficuts 256 acl3_seed 2 0.5 -0.1 1 0.75 1000 24.2314065625 3.9822800000000003 44.6768 9059.875 5598 9854
RESULT efficuts 256 acl3_seed 2 0.5 -0.1 1 1 1000 21.233555625 5.412059999999999 46.2832 8939.0 5498 9894
RESULT efficuts 256 acl4_seed 2 0.5 -0.1 1 0.1 1000 25.297240312499998 4.8735599999999994 43.9269 9962.125 9674 10294
RESULT efficuts 256 acl4_seed 2 0.5 -0.1 1 0.25 1000 28.236635624999998 2.99838 42.648 9930.625 9634 10382
RESULT efficuts 256 acl4_seed 2 0.5 -0.1 1 0.5 1000 23.515995625000002 2.99412 43.67100000000001 9930.0 9666 10170
RESULT efficuts 256 acl4_seed 2 0.5 -0.1 1 0.75 1000 25.307711875 2.99945 43.3172 9892.0 9702 10166
RESULT efficuts 256 acl4_seed 2 0.5 -0.1 1 1 1000 22.943201875 2.99772 58.5658 9796.375 5838 10310
RESULT efficuts 256 acl5_seed 2 0.5 -0.1 1 0.1 1000 12.4158671875 8.36305 16.0451 8420.8125 1576 13948
RESULT efficuts 256 acl5_seed 2 0.5 -0.1 1 0.25 1000 13.04647625 9.06657 20.8887 7513.875 1524 13948
RESULT efficuts 256 acl5_seed 2 0.5 -0.1 1 0.5 1000 13.620333125 9.09266 18.0093 7097.6875 1504 13884
RESULT efficuts 256 acl5_seed 2 0.5 -0.1 1 0.75 1000 11.927806875 7.134760000000001 14.8623 8354.5 1564 13828
RESULT efficuts 256 acl5_seed 2 0.5 -0.1 1 1 1000 12.382888125000001 7.08828 16.3633 7866.5 1572 13784
RESULT efficuts 256 fw1_seed 2 0.5 -0.1 1 0.1 1000 15.079741875 6.28109 21.0033 1847.25 1160 5954
RESULT efficuts 256 fw1_seed 2 0.5 -0.1 1 0.25 1000 16.11502 7.878639999999999 23.1728 1973.3125 1264 5714
RESULT efficuts 256 fw1_seed 2 0.5 -0.1 1 0.5 1000 15.26024 8.79368 30.8098 2049.375 1348 5898
RESULT efficuts 256 fw1_seed 2 0.5 -0.1 1 0.75 1000 16.15100125 6.33383 33.8375 1862.25 1324 5882
RESULT efficuts 256 fw1_seed 2 0.5 -0.1 1 1 1000 16.559371875 4.23649 32.8878 2199.0625 1440 5806
RESULT efficuts 256 fw2_seed 2 0.5 -0.1 1 0.1 1000 12.555169687500001 5.2824599999999995 16.7618 2380.8125 1248 6644
RESULT efficuts 256 fw2_seed 2 0.5 -0.1 1 0.25 1000 11.904818437500001 5.40125 16.9587 2855.5 1312 6632
RESULT efficuts 256 fw2_seed 2 0.5 -0.1 1 0.5 1000 11.9013671875 5.601430000000001 17.6268 3067.375 1356 6640
RESULT efficuts 256 fw2_seed 2 0.5 -0.1 1 0.75 1000 13.0734428125 7.0087 18.7721 2466.125 1336 6668
RESULT efficuts 256 fw2_seed 2 0.5 -0.1 1 1 1000 12.5841225 7.332960000000001 15.0765 2879.875 1296 6560
RESULT efficuts 256 fw3_seed 2 0.5 -0.1 1 0.1 1000 13.964588125 6.164569999999999 25.513 2432.0 1328 9894
RESULT efficuts 256 fw3_seed 2 0.5 -0.1 1 0.25 1000 14.161253125 10.4164 19.595 2319.3125 1344 6066
RESULT efficuts 256 fw3_seed 2 0.5 -0.1 1 0.5 1000 14.65529375 10.8813 28.1724 2390.8125 1352 5738
RESULT efficuts 256 fw3_seed 2 0.5 -0.1 1 0.75 1000 14.03155625 10.7089 20.9608 1919.9375 1388 6002
RESULT efficuts 256 fw3_seed 2 0.5 -0.1 1 1 1000 15.4295803125 7.356669999999999 34.5625 2771.75 1336 9574
RESULT efficuts 256 fw4_seed 2 0.5 -0.1 1 0.1 1000 13.181219062500002 5.32701 29.6739 1857.4375 1420 3870
RESULT efficuts 256 fw4_seed 2 0.5 -0.1 1 0.25 1000 12.7313853125 6.46065 20.5528 1975.875 1488 3460
RESULT efficuts 256 fw4_seed 2 0.5 -0.1 1 0.5 1000 12.694523125 3.2604599999999997 23.8604 1948.375 1404 6198
RESULT efficuts 256 fw4_seed 2 0.5 -0.1 1 0.75 1000 12.348045625000001 6.580839999999999 25.3114 2202.4375 1388 5978
RESULT efficuts 256 fw4_seed 2 0.5 -0.1 1 1 1000 13.60605 4.71773 30.7803 2009.0625 1380 3894
RESULT efficuts 256 fw5_seed 2 0.5 -0.1 1 0.1 1000 13.190909062500001 9.41119 16.8463 1979.1875 1528 6174
RESULT efficuts 256 fw5_seed 2 0.5 -0.1 1 0.25 1000 12.6615765625 6.25462 16.8944 1839.5 1576 2336
RESULT efficuts 256 fw5_seed 2 0.5 -0.1 1 0.5 1000 12.821115312500002 6.09166 19.0392 1988.4375 1540 6234
RESULT efficuts 256 fw5_seed 2 0.5 -0.1 1 0.75 1000 13.751568125 9.80208 17.55 1804.375 1452 2176
RESULT efficuts 256 fw5_seed 2 0.5 -0.1 1 1 1000 13.068439062500001 8.44195 17.8765 1833.1875 1508 2418
RESULT efficuts 256 ipc1_seed 2 0.5 -0.1 1 0.1 1000 17.5521171875 4.1568 44.4603 7288.125 2750 9784
RESULT efficuts 256 ipc1_seed 2 0.5 -0.1 1 0.25 1000 20.88357625 5.76293 46.9454 7607.3125 5402 9764
RESULT efficuts 256 ipc1_seed 2 0.5 -0.1 1 0.5 1000 15.494667499999998 4.40952 43.3456 7626.125 1372 9728
RESULT efficuts 256 ipc1_seed 2 0.5 -0.1 1 0.75 1000 16.6362828125 4.11393 40.608000000000004 6853.25 3626 9688
RESULT efficuts 256 ipc1_seed 2 0.5 -0.1 1 1 1000 17.2169971875 4.26806 43.4325 7604.625 3694 9740
RESULT efficuts 256 ipc2_seed 2 0.5 -0.1 1 0.1 1000 13.4870665625 4.83526 28.1586 1095.75 732 1634
RESULT efficuts 256 ipc2_seed 2 0.5 -0.1 1 0.25 1000 12.2728021875 6.31314 24.3225 1094.75 696 1734
RESULT efficuts 256 ipc2_seed 2 0.5 -0.1 1 0.5 1000 12.54893625 7.536519999999999 27.3957 1247.125 768 5226
RESULT efficuts 256 ipc2_seed 2 0.5 -0.1 1 0.75 1000 13.1324996875 6.03212 24.9716 1159.125 764 2942
RESULT efficuts 256 ipc2_seed 2 0.5 -0.1 1 1 1000 11.84616625 5.4047 20.8444 1126.6875 816 1846
